country,country_code,year,age_class,age_class_id,Pop%,Preg%,BF%
Rwanda,RWA,2012,child 0-23mon,0,6,0,0
Rwanda,RWA,2012,child 24-59mon,1,9,0,0
Rwanda,RWA,2012,child 6-9 yr,2,14,0,0
Rwanda,RWA,2012,adolescent girl,3,9,0.5,0.9
Rwanda,RWA,2012,adolescent boy,4,10,0,0
Rwanda,RWA,2012,adult female,5,25,2.2,4.4
Rwanda,RWA,2012,adult male,6,27,0,0
Ethiopia,ETH,2012,child 0-23mon,0,5,0,0
Ethiopia,ETH,2012,child 24-59mon,1,10,0,0
Ethiopia,ETH,2012,child 6-9 yr,2,16,0,0
Ethiopia,ETH,2012,adolescent girl,3,11,0.3,0.7
Ethiopia,ETH,2012,adolescent boy,4,10,0,0
Ethiopia,ETH,2012,adult female,5,24,2.1,4.3
Ethiopia,ETH,2012,adult male,6,24,0,0